słowo, udział procentowy w wikipedii duńskiej, stała prawa zipfai, 0.03732%, 0.03732
nordlige, 0.00017%, 0.08402
taget, 0.00017%, 0.08392
værker, 0.00017%, 0.08389
fx, 0.00017%, 0.08405
kategori, 0.00017%, 0.08420
cup, 0.00017%, 0.08419
engelske, 0.00017%, 0.08428
små, 0.00017%, 0.08431
tage, 0.00017%, 0.08435
tiden, 0.00017%, 0.08451
w, 0.00017%, 0.08427
millioner, 0.00017%, 0.08434
william, 0.00017%, 0.08445
yderligere, 0.00017%, 0.08456
krig, 0.00017%, 0.08468
van, 0.00017%, 0.08471
formand, 0.00016%, 0.08454
beliggende, 0.00016%, 0.08439
nummer, 0.00016%, 0.08454
sydlige, 0.00016%, 0.08442
direkte, 0.00016%, 0.08448
kongeriget, 0.00016%, 0.08434
karl, 0.00016%, 0.08447
o, 0.00016%, 0.08457
handling, 0.00016%, 0.08449
james, 0.00016%, 0.08462
politiske, 0.00016%, 0.08476
u, 0.00016%, 0.08463
red, 0.00016%, 0.08465
steder, 0.00016%, 0.08462
måske, 0.00016%, 0.08474
give, 0.00016%, 0.08488
svensk, 0.00016%, 0.08447
betydning, 0.00016%, 0.08426
hvordan, 0.00016%, 0.08440
professor, 0.00016%, 0.08454
fundet, 0.00016%, 0.08469
guld, 0.00016%, 0.08477
it, 0.00016%, 0.08488
præsident, 0.00016%, 0.08475
politiker, 0.00016%, 0.08490
kategoridanske, 0.00016%, 0.08503
fået, 0.00016%, 0.08517
skole, 0.00016%, 0.08518
nåede, 0.00016%, 0.08526
familie, 0.00016%, 0.08539
point, 0.00016%, 0.08539
stemmer, 0.00016%, 0.08547
sang, 0.00016%, 0.08561
vundet, 0.00016%, 0.08563
byer, 0.00016%, 0.08575
krigen, 0.00016%, 0.08587
johan, 0.00016%, 0.08596
rundt, 0.00016%, 0.08593
haft, 0.00016%, 0.08586
officielle, 0.00016%, 0.08598
europæiske, 0.00016%, 0.08591
areal, 0.00016%, 0.08596
oprindeligt, 0.00016%, 0.08609
bruger, 0.00016%, 0.08619
html, 0.00015%, 0.08590
blå, 0.00015%, 0.08603
unge, 0.00015%, 0.08608
albummet, 0.00015%, 0.08618
tidspunkt, 0.00015%, 0.08621
afsnit, 0.00015%, 0.08631
kl, 0.00015%, 0.08647
bedre, 0.00015%, 0.08642
bare, 0.00015%, 0.08650
øen, 0.00015%, 0.08654
an, 0.00015%, 0.08662
paul, 0.00015%, 0.08676
betyder, 0.00015%, 0.08677
komme, 0.00015%, 0.08672
bør, 0.00015%, 0.08683
vej, 0.00015%, 0.08673
førte, 0.00015%, 0.08673
hjælp, 0.00015%, 0.08684
polen, 0.00015%, 0.08698
george, 0.00015%, 0.08700
tale, 0.00015%, 0.08681
fødti, 0.00015%, 0.08678
årets, 0.00015%, 0.08669
kategoridanskere, 0.00015%, 0.08678
muligt, 0.00015%, 0.08688
mener, 0.00015%, 0.08694
forfattere, 0.00015%, 0.08681
kina, 0.00015%, 0.08681
jørgen, 0.00015%, 0.08696
leder, 0.00015%, 0.08707
nyt, 0.00015%, 0.08718
anders, 0.00015%, 0.08719
nær, 0.00015%, 0.08730
love, 0.00015%, 0.08741
